2009,OH,Closed without arrest,16
2009,OH,Open/No arrest,47
2009,OK,Closed by arrest,82
2009,OK,Closed without arrest,4
2009,OK,Open/No arrest,39
2009,PA,Closed by arrest,216
2009,PA,Closed without arrest,12
2009,PA,Open/No arrest,120
2009,TN,Closed by arrest,160
2009,TN,Closed without arrest,12
2009,TN,Open/No arrest,40
2009,TX,Closed by arrest,340
2009,TX,Closed without arrest,63
2009,TX,Open/No arrest,191
2009,VA,Closed by arrest,30
2009,VA,Closed without arrest,2
2009,VA,Open/No arrest,7
2009,wI,Closed by arrest,50
2009,wI,Closed without arrest,1
2009,wI,Open/No arrest,21
2010,AL,Closed by arrest,38
2010,AL,Closed without arrest,3
2010,AL,Open/No arrest,17
2010,CA,Closed by arrest,305
2010,CA,Closed without arrest,18
2010,CA,Open/No arrest,303
2010,CO,Closed by arrest,18
2010,CO,Closed without arrest,6
2010,CO,Open/No arrest,14
2010,DC,Closed by arrest,81
2010,DC,Closed without arrest,6
2010,DC,Open/No arrest,45
2010,FL,Closed by arrest,120
2010,FL,Closed without arrest,11
2010,FL,Open/No arrest,56
2010,GA,Closed by arrest,68
2010,GA,Closed without arrest,3
2010,GA,Open/No arrest,37
2010,IL,Closed by arrest,135
2010,IL,Closed without arrest,44
2010,IL,Open/No arrest,255
2010,IN,Closed by arrest,59
2010,IN,Closed without arrest,5
2010,IN,Open/No arrest,28
2010,KY,Closed by arrest,30
2010,KY,Open/No arrest,22
2010,LA,Closed by arrest,83
2010,LA,Closed without arrest,20
2010,LA,Open/No arrest,83
2010,MA,Closed by arrest,36
2010,MA,Open/No arrest,38
2010,MD,Closed by arrest,93
2010,MD,Closed without arrest,15
2010,MD,Open/No arrest,112
2010,MI,Closed by arrest,107
2010,MI,Closed without arrest,4
2010,MI,Open/No arrest,199
2010,MN,Closed by arrest,14
2010,MN,Closed without arrest,4
2010,MN,Open/No arrest,17
2010,MO,Closed by arrest,135
2010,MO,Closed without arrest,4
2010,MO,Open/No arrest,104
2010,NC,Closed by arrest,61
2010,NC,Closed without arrest,5
2010,NC,Open/No arrest,18
2010,NE,Closed by arrest,14
2010,NE,Open/No arrest,19
2010,NM,Closed by arrest,30
2010,NM,Closed without arrest,10
2010,NM,Open/No arrest,5
2010,NV,Closed by arrest,67
2010,NV,Closed without arrest,18
2010,NV,Open/No arrest,27
2010,NY,Closed by arrest,24
2010,NY,Closed without arrest,1
2010,NY,Open/No arrest,29
2010,OH,Closed by arrest,111
2010,OH,Closed without arrest,6
2010,OH,Open/No arrest,58
2010,OK,Closed by arrest,68
2010,OK,Closed without arrest,5
2010,OK,Open/No arrest,35
2010,PA,Closed by arrest,237
2010,PA,Closed without arrest,6
2010,PA,Open/No arrest,122
2010,TN,Closed by arrest,106
2010,TN,Closed without arrest,10
2010,TN,Open/No arrest,32
2010,TX,Closed by arrest,323
2010,TX,Closed without arrest,64
2010,TX,Open/No arrest,168
2010,VA,Closed by arrest,29
2010,VA,Closed without arrest,3
2010,VA,Open/No arrest,9
2010,wI,Closed by arrest,69
2010,wI,Closed without arrest,3
2010,wI,Open/No arrest,23
2011,AL,Closed by arrest,35
2011,AL,Closed without arrest,4
2011,AL,Open/No arrest,15
2011,AZ,Closed by arrest,51
2011,AZ,Closed without arrest,17
2011,AZ,Open/No arrest,56
2011,CA,Closed by arrest,310
2011,CA,Closed without arrest,16
2011,CA,Open/No arrest,320
2011,CO,Closed by arrest,25
2011,CO,Closed without arrest,6
2011,CO,Open/No arrest,12
2011,DC,Closed by arrest,75
2011,DC,Closed without arrest,3
2011,DC,Open/No arrest,30
2011,FL,Closed by arrest,83
2011,FL,Closed without arrest,11
2011,FL,Open/No arrest,52
2011,GA,Closed by arrest,70
2011,GA,Closed without arrest,7
2011,GA,Open/No arrest,36
2011,IL,Closed by arrest,133
2011,IL,Closed without arrest,29
2011,IL,Open/No arrest,275
2011,IN,Closed by arrest,49
2011,IN,Closed without arrest,7
2011,IN,Open/No arrest,40
2011,KY,Closed by arrest,29
2011,KY,Open/No arrest,24
2011,LA,Closed by arrest,111
2011,LA,Closed without arrest,19
2011,LA,Open/No arrest,145
2011,MA,Closed by arrest,30
2011,MA,Open/No arrest,34
2011,MD,Closed by arrest,77
2011,MD,Closed without arrest,12
2011,MD,Open/No arrest,108
2011,MI,Closed by arrest,116
2011,MI,Closed without arrest,5
2011,MI,Open/No arrest,225
2011,MN,Closed by arrest,16
2011,MN,Closed without arrest,5
2011,MN,Open/No arrest,14
2011,MO,Closed by arrest,150
2011,MO,Closed without arrest,4
2011,MO,Open/No arrest,70
2011,NC,Closed by arrest,63
2011,NC,Closed without arrest,5
2011,NC,Open/No arrest,15
2011,NE,Closed by arrest,19
2011,NE,Closed without arrest,2
2011,NE,Open/No arrest,18
2011,NM,Closed by arrest,28
2011,NM,Closed without arrest,2
2011,NM,Open/No arrest,8
2011,NV,Closed by arrest,61
2011,NV,Closed without arrest,4
2011,NV,Open/No arrest,23
2011,NY,Closed by arrest,17
2011,NY,Open/No arrest,19
2011,OH,Closed by arrest,72
2011,OH,Closed without arrest,14
2011,OH,Open/No arrest,70
2011,OK,Closed by arrest,66
2011,OK,Closed without arrest,13
2011,OK,Open/No arrest,34
2011,PA,Closed by arrest,200
2011,PA,Closed without arrest,14
2011,PA,Open/No arrest,154
2011,TN,Closed by arrest,115
2011,TN,Closed without arrest,16
2011,TN,Open/No arrest,40
2011,TX,Closed by arrest,201
2011,TX,Closed without arrest,42
2011,TX,Open/No arrest,140
2011,VA,Closed by arrest,30
2011,VA,Open/No arrest,7
2011,wI,Closed by arrest,57
2011,wI,Closed without arrest,3
2011,wI,Open/No arrest,29
2012,AL,Closed by arrest,33
2012,AL,Closed without arrest,10
2012,AL,Open/No arrest,25
2012,AZ,Closed by arrest,64
2012,AZ,Closed without arrest,21
2012,AZ,Open/No arrest,41
2012,CA,Closed by arrest,416
2012,CA,Closed without arrest,23
2012,CA,Open/No arrest,335
2012,CO,Closed by arrest,23
2012,CO,Closed without arrest,4
2012,CO,Open/No arrest,13
2012,DC,Closed by arrest,51
2012,DC,Closed without arrest,6
2012,DC,Open/No arrest,31
2012,FL,Closed by arrest,85
2012,FL,Closed without arrest,13
2012,FL,Open/No arrest,79
2012,GA,Closed by arrest,74
2012,GA,Closed without arrest,3
2012,GA,Open/No arrest,24
2012,IL,Closed by arrest,136
2012,IL,Closed without arrest,42
2012,IL,Open/No arrest,327
2012,IN,Closed by arrest,56
2012,IN,Closed without arrest,12
2012,IN,Open/No arrest,28
2012,KY,Closed by arrest,30
2012,KY,Open/No arrest,32
2012,LA,Closed by arrest,124
2012,LA,Closed without arrest,20
2012,LA,Open/No arrest,129
2012,MA,Closed by arrest,37
2012,MA,Open/No arrest,22
2012,MD,Closed by arrest,86
2012,MD,Closed without arrest,12
2012,MD,Open/No arrest,118
2012,MI,Closed by arrest,139
2012,MI,Closed without arrest,4
2012,MI,Open/No arrest,243
2012,MN,Closed by arrest,23
2012,MN,Closed without arrest,1
2012,MN,Open/No arrest,18
2012,MO,Closed by arrest,133
2012,MO,Closed without arrest,3
2012,MO,Open/No arrest,81
2012,NC,Closed by arrest,56
2012,NC,Closed without arrest,1
2012,NC,Open/No arrest,15
2012,NE,Closed by arrest,16
2012,NE,Closed without arrest,1
2012,NE,Open/No arrest,22
2012,NM,Closed by arrest,32
2012,NM,Closed without arrest,6
2012,NM,Open/No arrest,8
2012,NV,Closed by arrest,55
2012,NV,Closed without arrest,5
2012,NV,Open/No arrest,21
2012,NY,Closed by arrest,17
2012,NY,Open/No arrest,33
2012,OH,Closed by arrest,64
2012,OH,Closed without arrest,15
2012,OH,Open/No arrest,64
2012,OK,Closed by arrest,70
2012,OK,Closed without arrest,5
2012,OK,Open/No arrest,49
2012,PA,Closed by arrest,216
2012,PA,Closed without arrest,12
2012,PA,Open/No arrest,148
2012,TN,Closed by arrest,140
2012,TN,Closed without arrest,9
2012,TN,Open/No arrest,48
2012,TX,Closed by arrest,220
2012,TX,Closed without arrest,32
2012,TX,Open/No arrest,161
2012,VA,Closed by arrest,32
2012,VA,Open/No arrest,12
2012,wI,Closed by arrest,57
2012,wI,Closed without arrest,2
2012,wI,Open/No arrest,34
2013,AL,Closed by arrest,35
2013,AL,Closed without arrest,8
2013,AL,Open/No arrest,21
2013,AZ,Closed by arrest,72
2013,AZ,Closed without arrest,18
2013,AZ,Open/No arrest,34
2013,CA,Closed by arrest,329
2013,CA,Closed without arrest,8
2013,CA,Open/No arrest,273
2013,CO,Closed by arrest,19
2013,CO,Closed without arrest,7
2013,CO,Open/No arrest,16
2013,DC,Closed by arrest,54
2013,DC,Closed without arrest,16
2013,DC,Open/No arrest,34
2013,FL,Closed by arrest,93
2013,FL,Closed without arrest,22
2013,FL,Open/No arrest,84
2013,GA,Closed by arrest,69
2013,GA,Closed without arrest,6
2013,GA,Open/No arrest,29
2013,IL,Closed by arrest,133
2013,IL,Closed without arrest,24
2013,IL,Open/No arrest,266
2013,IN,Closed by arrest,70
2013,IN,Closed without arrest,18
2013,IN,Open/No arrest,37
2013,KY,Closed by arrest,28
2013,KY,Open/No arrest,20
2013,LA,Closed by arrest,92
2013,LA,Closed without arrest,5
2013,LA,Open/No arrest,109
2013,MA,Closed by arrest,23
2013,MA,Open/No arrest,19
2013,MD,Closed by arrest,92
2013,MD,Closed without arrest,13
2013,MD,Open/No arrest,126
2013,MI,Closed by arrest,126
2013,MI,Closed without arrest,3
2013,MI,Open/No arrest,208
2013,MN,Closed by arrest,16
2013,MN,Closed without arrest,7
2013,MN,Open/No arrest,18
2013,MO,Closed by arrest,122
2013,MO,Closed without arrest,8
2013,MO,Open/No arrest,91
2013,NC,Closed by arrest,56
2013,NC,Closed without arrest,6
2013,NC,Open/No arrest,20
2013,NE,Closed by arrest,26
2013,NE,Closed without arrest,2
2013,NE,Open/No arrest,12
2013,NM,Closed by arrest,17
2013,NM,Closed without arrest,11
2013,NM,Open/No arrest,5
2013,NV,Closed by arrest,69
2013,NV,Closed without arrest,10
2013,NV,Open/No arrest,18
2013,NY,Closed by arrest,16
2013,NY,Open/No arrest,31
2013,OH,Closed by arrest,84
2013,OH,Closed without arrest,11
2013,OH,Open/No arrest,73
2013,OK,Closed by arrest,83
2013,OK,Closed without arrest,4
2013,OK,Open/No arrest,38
2013,PA,Closed by arrest,154
2013,PA,Closed without arrest,4
2013,PA,Open/No arrest,137
2013,TN,Closed by arrest,108
2013,TN,Closed without arrest,5
2013,TN,Open/No arrest,54
2013,TX,Closed by arrest,273
2013,TX,Closed without arrest,53
2013,TX,Open/No arrest,160
2013,VA,Closed by arrest,29
2013,VA,Closed without arrest,2
2013,VA,Open/No arrest,6
2013,wI,Closed by arrest,65
2013,wI,Closed without arrest,4
2013,wI,Open/No arrest,32
2014,AL,Closed by arrest,34
2014,AL,Closed without arrest,4
2014,AL,Open/No arrest,14
